Time_ms,ax,ay,az
1772930907648.0725,0.0517,-0.5707,-0.7979
1772930907648.0725,0.052,-0.5716,-0.7957
1772930907648.0725,0.0515,-0.5721,-0.7932
1772930907648.0725,0.0528,-0.5691,-0.7979
1772930907648.0725,0.0544,-0.5718,-0.7953
1772930907648.0725,0.0539,-0.5749,-0.7921
1772930907648.0725,0.0524,-0.5735,-0.7962
1772930907663.8357,0.0536,-0.5733,-0.7934
1772930907663.8357,0.0523,-0.5763,-0.7966
1772930907663.8357,0.0511,-0.5746,-0.7982
1772930907663.8357,0.0503,-0.5758,-0.7962
1772930907663.8357,0.0494,-0.5744,-0.7945
1772930907663.8357,0.05,-0.574,-0.7934
1772930907663.8357,0.049,-0.5766,-0.7945
1772930907663.8357,0.0479,-0.5741,-0.7952
1772930907679.3699,0.0475,-0.5737,-0.796
1772930907679.3699,0.0492,-0.5728,-0.7939
1772930907679.3699,0.0499,-0.5729,-0.7943
1772930907679.3699,0.0498,-0.5724,-0.7949
1772930907679.3699,0.0472,-0.5714,-0.7971
1772930907679.3699,0.0483,-0.5729,-0.7915
1772930907679.3699,0.0475,-0.5707,-0.7954
1772930907679.3699,0.0516,-0.5727,-0.7928
1772930907695.4697,0.0512,-0.5733,-0.7948
1772930907695.4697,0.0491,-0.5748,-0.7932
1772930907695.4697,0.0501,-0.575,-0.7946
1772930907695.4697,0.0503,-0.5769,-0.796
1772930907695.4697,0.0513,-0.5749,-0.7932
1772930907695.4697,0.053,-0.5772,-0.7958
1772930907695.4697,0.0498,-0.5757,-0.793
1772930907695.4697,0.0529,-0.5628,-0.7962
1772930907711.0452,0.0521,-0.5755,-0.7945
1772930907711.0452,0.0527,-0.5766,-0.7928
1772930907711.0452,0.05,-0.5758,-0.7973
1772930907711.0452,0.0528,-0.5747,-0.7925
1772930907711.0452,0.05,-0.5759,-0.7935
1772930907711.0452,0.0497,-0.5738,-0.7961
1772930907711.0452,0.0514,-0.5733,-0.7923
1772930907711.0452,0.0519,-0.573,-0.795
1772930907726.197,0.0518,-0.5747,-0.796
1772930907726.197,0.0512,-0.5738,-0.7916
1772930907726.197,0.0486,-0.5733,-0.794
1772930907726.197,0.0508,-0.5714,-0.7934
1772930907726.197,0.0515,-0.5735,-0.7922
1772930907741.2942,0.0525,-0.5736,-0.7927
1772930907741.2942,0.0537,-0.5716,-0.7927
1772930907741.2942,0.0516,-0.5751,-0.7931
1772930907741.2942,0.0528,-0.5722,-0.7941
1772930907741.2942,0.0522,-0.5734,-0.7899
1772930907741.2942,0.0518,-0.573,-0.791
1772930907741.2942,0.0501,-0.5729,-0.7901
1772930907741.2942,0.0505,-0.573,-0.7906
1772930907757.0967,0.0511,-0.5736,-0.7874
1772930907757.0967,0.0501,-0.5737,-0.7896
1772930907757.0967,0.0517,-0.5732,-0.7889
1772930907757.0967,0.0528,-0.5739,-0.7884
1772930907757.0967,0.0541,-0.5732,-0.7846
1772930907757.0967,0.0523,-0.5719,-0.7845
1772930907757.0967,0.0539,-0.5725,-0.7821
1772930907757.0967,0.0525,-0.5738,-0.7831
1772930907772.6074,0.0517,-0.5757,-0.7867
1772930907772.6074,0.0513,-0.5756,-0.786
1772930907772.6074,0.0543,-0.5775,-0.7841
1772930907772.6074,0.0534,-0.5793,-0.7843
1772930907772.6074,0.0509,-0.5792,-0.7856
1772930907772.6074,0.0537,-0.5766,-0.7863
1772930907772.6074,0.0536,-0.5785,-0.7878
1772930907772.6074,0.0501,-0.5764,-0.7886
1772930907787.8157,0.0538,-0.5759,-0.7874
1772930907787.8157,0.0495,-0.5758,-0.7916
1772930907787.8157,0.0503,-0.5768,-0.7912
1772930907787.8157,0.0486,-0.5779,-0.7871
1772930907787.8157,0.0518,-0.5766,-0.7902
1772930907787.8157,0.0483,-0.5768,-0.7904
1772930907803.4727,0.0473,-0.5762,-0.7932
1772930907803.4727,0.049,-0.5769,-0.7931
1772930907803.4727,0.0493,-0.578,-0.7945
1772930907803.4727,0.0492,-0.5771,-0.7932
1772930907803.4727,0.0464,-0.5768,-0.7951
1772930907803.4727,0.0492,-0.576,-0.7977
1772930907803.4727,0.0497,-0.5746,-0.7925
1772930907803.4727,0.05,-0.5747,-0.7925
1772930907819.1223,0.0483,-0.5749,-0.7935
1772930907819.1223,0.0483,-0.5757,-0.7941
1772930907819.1223,0.0476,-0.5769,-0.7963
1772930907819.1223,0.0511,-0.5749,-0.7965
1772930907819.1223,0.0493,-0.5743,-0.7942
1772930907819.1223,0.049,-0.5762,-0.7929
1772930907819.1223,0.0504,-0.5771,-0.7921
1772930907819.1223,0.0511,-0.5768,-0.793
1772930907834.7024,0.0486,-0.576,-0.794
1772930907834.7024,0.0501,-0.5743,-0.794
1772930907834.7024,0.0502,-0.5771,-0.794
1772930907834.7024,0.0509,-0.5769,-0.7929
1772930907834.7024,0.0506,-0.5766,-0.7965
1772930907834.7024,0.0509,-0.5764,-0.7951
1772930907834.7024,0.0506,-0.575,-0.7912
1772930907834.7024,0.052,-0.5767,-0.7937
1772930907849.8657,0.051,-0.5774,-0.7912
1772930907849.8657,0.0508,-0.5769,-0.7918
1772930907849.8657,0.0519,-0.5774,-0.7924
1772930907849.8657,0.0526,-0.5801,-0.7923
1772930907849.8657,0.0525,-0.5764,-0.7901
1772930907849.8657,0.0509,-0.5779,-0.7913
1772930907849.8657,0.0506,-0.5777,-0.7889
1772930907849.8657,0.0492,-0.5773,-0.7869
1772930907865.0608,0.0467,-0.5775,-0.7899
1772930907865.0608,0.0469,-0.5772,-0.7895
1772930907865.0608,0.0484,-0.5781,-0.7902
1772930907865.0608,0.0486,-0.5777,-0.7874
1772930907865.0608,0.0543,-0.5803,-0.79
1772930907880.2283,0.055,-0.5785,-0.7887
1772930907880.2283,0.0521,-0.5755,-0.7886
1772930907880.2283,0.0537,-0.5804,-0.7919
1772930907880.2283,0.0544,-0.576,-0.7921
1772930907880.2283,0.0544,-0.5752,-0.7894
1772930907880.2283,0.0519,-0.5776,-0.7889
1772930907880.2283,0.0507,-0.5766,-0.789
1772930907880.2283,0.0519,-0.5763,-0.7906
1772930907895.9646,0.0525,-0.5743,-0.7914
