Time_ms,ax,ay,az
1772931090538.5515,0.0498,-0.6098,-0.7607
1772931090538.5515,0.0522,-0.5941,-0.7621
1772931090538.5515,0.0509,-0.6076,-0.766
1772931090538.5515,0.0501,-0.605,-0.7696
1772931090538.5515,0.0517,-0.606,-0.7686
1772931090553.707,0.0518,-0.6097,-0.7693
1772931090553.707,0.0544,-0.6133,-0.7655
1772931090553.707,0.0608,-0.6163,-0.7648
1772931090553.707,0.0623,-0.6149,-0.7635
1772931090553.707,0.0651,-0.6158,-0.7623
1772931090553.707,0.0644,-0.6144,-0.7595
1772931090553.707,0.0641,-0.6131,-0.7569
1772931090553.707,0.0609,-0.6118,-0.7573
1772931090569.7737,0.0593,-0.6121,-0.7576
1772931090569.7737,0.0563,-0.6157,-0.7583
1772931090569.7737,0.055,-0.6178,-0.7576
1772931090569.7737,0.0534,-0.6196,-0.7582
1772931090569.7737,0.0531,-0.6197,-0.7596
1772931090569.7737,0.052,-0.6198,-0.762
1772931090569.7737,0.052,-0.6209,-0.7581
1772931090569.7737,0.0518,-0.6241,-0.7584
1772931090585.8765,0.0504,-0.6242,-0.7574
1772931090585.8765,0.0509,-0.6252,-0.7575
1772931090585.8765,0.0512,-0.6239,-0.7566
1772931090585.8765,0.052,-0.6259,-0.7579
1772931090585.8765,0.0513,-0.6246,-0.7593
1772931090601.3347,0.0521,-0.6244,-0.7606
1772931090601.3347,0.0504,-0.6247,-0.7609
1772931090601.3347,0.0492,-0.6221,-0.7596
1772931090601.3347,0.0524,-0.6198,-0.762
1772931090601.3347,0.0509,-0.6167,-0.7632
1772931090601.3347,0.0514,-0.617,-0.762
1772931090601.3347,0.0481,-0.6165,-0.7637
1772931090601.3347,0.047,-0.6171,-0.7621
1772931090616.5938,0.0497,-0.619,-0.7632
1772931090616.5938,0.0497,-0.6163,-0.7641
1772931090616.5938,0.0507,-0.6154,-0.7627
1772931090616.5938,0.0498,-0.6166,-0.762
1772931090616.5938,0.0524,-0.6161,-0.7603
1772931090616.5938,0.0521,-0.6165,-0.7587
1772931090616.5938,0.054,-0.6142,-0.7583
1772931090616.5938,0.0532,-0.6151,-0.7572
1772931090632.6482,0.0539,-0.6121,-0.7587
1772931090632.6482,0.0549,-0.6111,-0.7574
1772931090632.6482,0.0523,-0.6132,-0.7534
1772931090632.6482,0.0534,-0.6109,-0.7579
1772931090632.6482,0.0517,-0.6117,-0.7573
1772931090632.6482,0.0523,-0.6098,-0.7576
1772931090632.6482,0.0529,-0.6085,-0.7571
1772931090632.6482,0.0501,-0.6101,-0.7569
1772931090648.655,0.0489,-0.6099,-0.7571
1772931090648.655,0.0483,-0.6115,-0.7566
1772931090648.655,0.048,-0.6104,-0.7563
1772931090648.655,0.0487,-0.6116,-0.7571
1772931090648.655,0.0471,-0.6102,-0.7561
1772931090648.655,0.0469,-0.6134,-0.7547
1772931090648.655,0.0486,-0.6163,-0.7541
1772931090648.655,0.0462,-0.6171,-0.7535
1772931090663.7522,0.0488,-0.6162,-0.7536
1772931090663.7522,0.0472,-0.6171,-0.7554
1772931090663.7522,0.0464,-0.6159,-0.7536
1772931090663.7522,0.0461,-0.616,-0.7524
1772931090663.7522,0.0463,-0.6176,-0.7534
1772931090663.7522,0.0456,-0.616,-0.7554
1772931090663.7522,0.0442,-0.6143,-0.7537
1772931090663.7522,0.044,-0.6121,-0.7532
1772931090678.6006,0.0455,-0.613,-0.7529
1772931090678.6006,0.0476,-0.6128,-0.7531
1772931090678.6006,0.0441,-0.6127,-0.7559
1772931090678.6006,0.0418,-0.6137,-0.7534
1772931090678.6006,0.0447,-0.6113,-0.7542
1772931090693.4277,0.0517,-0.6134,-0.7617
1772931090693.4277,0.0486,-0.616,-0.7566
1772931090693.4277,0.0486,-0.613,-0.762
1772931090693.4277,0.0476,-0.6136,-0.7627
1772931090693.4277,0.0475,-0.6154,-0.7624
1772931090693.4277,0.0479,-0.6143,-0.7622
1772931090693.4277,0.0459,-0.6133,-0.763
1772931090693.4277,0.047,-0.6123,-0.7615
1772931090708.557,0.0508,-0.6118,-0.7646
1772931090708.557,0.0511,-0.609,-0.7616
1772931090708.557,0.0511,-0.6107,-0.7627
1772931090708.557,0.0515,-0.6099,-0.7648
1772931090708.557,0.0498,-0.6098,-0.764
1772931090708.557,0.0522,-0.6112,-0.7649
1772931090708.557,0.0524,-0.61,-0.7621
1772931090708.557,0.0534,-0.6097,-0.7635
1772931090724.0806,0.0544,-0.6069,-0.7674
1772931090724.0806,0.0565,-0.6073,-0.764
1772931090724.0806,0.055,-0.6066,-0.7651
1772931090724.0806,0.0568,-0.6069,-0.7637
1772931090724.0806,0.0588,-0.6074,-0.7655
1772931090724.0806,0.0598,-0.6099,-0.7653
1772931090739.6125,0.0592,-0.6107,-0.7654
1772931090739.6125,0.0596,-0.6117,-0.7629
1772931090739.6125,0.0605,-0.6121,-0.765
1772931090739.6125,0.063,-0.6141,-0.7656
1772931090739.6125,0.0605,-0.6126,-0.762
1772931090739.6125,0.0626,-0.6122,-0.7654
1772931090739.6125,0.0625,-0.6116,-0.7652
1772931090739.6125,0.0607,-0.6135,-0.7675
1772931090755.1733,0.0615,-0.6122,-0.7654
1772931090755.1733,0.059,-0.6141,-0.7661
1772931090755.1733,0.0579,-0.613,-0.7667
1772931090755.1733,0.0589,-0.6122,-0.7675
1772931090755.1733,0.0575,-0.6127,-0.7674
1772931090755.1733,0.0548,-0.6143,-0.7673
1772931090755.1733,0.0544,-0.6109,-0.7524
1772931090755.1733,0.057,-0.6123,-0.7669
1772931090771.279,0.0541,-0.6117,-0.7625
1772931090771.279,0.0531,-0.6112,-0.7691
1772931090771.279,0.0528,-0.6132,-0.766
1772931090771.279,0.0547,-0.6112,-0.7681
1772931090771.279,0.0528,-0.6116,-0.7687
1772931090771.279,0.051,-0.6118,-0.7669
1772931090771.279,0.049,-0.611,-0.7682
1772931090771.279,0.0501,-0.6126,-0.7708
1772931090786.8206,0.0521,-0.6121,-0.7687
1772931090786.8206,0.052,-0.6131,-0.769
1772931090786.8206,0.0512,-0.6115,-0.7678
1772931090786.8206,0.0517,-0.6132,-0.7684
1772931090786.8206,0.0506,-0.6125,-0.766
1772931090786.8206,0.0508,-0.6112,-0.7665
1772931090786.8206,0.0519,-0.6113,-0.7705
1772931090786.8206,0.0534,-0.6109,-0.7676
1772931090803.398,0.0519,-0.613,-0.7655
1772931090803.398,0.0504,-0.6124,-0.7654
1772931090803.398,0.0514,-0.6146,-0.7658
1772931090803.398,0.053,-0.6137,-0.768
1772931090803.398,0.052,-0.6172,-0.7648
1772931090803.398,0.0497,-0.6159,-0.7676
1772931090803.398,0.0514,-0.6168,-0.764
1772931090803.398,0.0501,-0.6157,-0.7653
1772931090818.5688,0.0493,-0.6169,-0.763
1772931090818.5688,0.0508,-0.6172,-0.765
1772931090818.5688,0.0528,-0.6179,-0.7631
1772931090818.5688,0.0514,-0.618,-0.7645
1772931090818.5688,0.0512,-0.6176,-0.7671
1772931090834.6106,0.0525,-0.6198,-0.7668
1772931090834.6106,0.0521,-0.6163,-0.7668
1772931090834.6106,0.0517,-0.6177,-0.7648
1772931090834.6106,0.0533,-0.6171,-0.7645
1772931090834.6106,0.0501,-0.6166,-0.7665
1772931090834.6106,0.0533,-0.6141,-0.7649
1772931090834.6106,0.05,-0.6152,-0.7667
1772931090834.6106,0.0503,-0.6133,-0.7643
1772931090850.233,0.0522,-0.6123,-0.7652
1772931090850.233,0.0509,-0.6095,-0.7629
1772931090850.233,0.0533,-0.6111,-0.7616
1772931090850.233,0.0523,-0.6124,-0.7612
1772931090850.233,0.0556,-0.6079,-0.7594
1772931090850.233,0.0551,-0.606,-0.7593
1772931090850.233,0.0535,-0.6061,-0.7584
1772931090850.233,0.0569,-0.6066,-0.76
1772931090865.8455,0.0554,-0.6093,-0.7557
1772931090865.8455,0.055,-0.6079,-0.7554
1772931090865.8455,0.0561,-0.6078,-0.758
1772931090865.8455,0.0579,-0.6087,-0.7551
